marca,model,pret,capacitate motor,putere,combustibil,caroserie,rulaj,culoare,an fabricatie,cutie viteza,descriere
toyota,Land Cruiser,8 900 €,2 446 cm³,90 CP,Diesel,Off-road,198 500 km,Rosu,1991,Manuala,"Vand Toyota Land Cruiser J70, an fabricatie 1991, km 198.500
90 CP
Achizitionata in dec 2023 din Franta, inmatriculata in 07.2024 ca si autoturism, utilizata exclusiv la vanatoare.
Masina se prezinta f bine pentru anii ei, partea mecanica si motorul functioneaza perfect (porneste la sfert de cheie, motorul nu scoate fum, cutia schimba f bine), vopsita partial raptor, interior intretinut
In 02.2024 s-au schimbat  tot ceea ce inseamna partea mecanica - kit omocinetica, capete bare stanga/dreapta pe ambele bari de directie, cruci cardan fata/spate, bucsi tendoane fata/spate/ stanga/dreapta, simering grup spate placute frana fata, bucsi bara stabilizatoare, bielete antiruliu, cap planetara fata stanga/dreapta, ulei grup fata/spate, ulei cutie viteze, ulei cutie transfer, schimbat conducta frana, reconditionat caseta de directie, schimbat bujii si inlocuit releu, reconditionat contact, reglat directia.
In septembrie 2024 s-au schimbat uleiul motor, filtrele, distributia si simering fata.
Pentru toate investitiile detin devize de reparatie.
Inaltata 5 cm, cauciucuri BF Goodrige AT, 31/10.5/ R15 in stare f buna
Masina a circulat maxim 2500 km de la inmatriculare
Se vinde pentru ca nu se foloseste la adevarata ei valoare
Multumesc
George"
toyota,Auris,2 695 €,1 997 cm³,126 CP,Diesel,Hatchback,210 000 km,Albastru,2008,Manuala,"Toyota Auris 2.0 D-4D (2008)
Fiabilă și economică, Toyota Auris din 2008 echipată cu motorul diesel de 2.0 D-4D (126 CP) oferă un echilibru excelent între performanță și consum redus. Este o compactă practică, cu un design modern pentru perioada sa și cu reputația bine-cunoscută a mărcii Toyota pentru durabilitate.
•	Motor: 2.0 diesel D-4D, 126 CP, cuplu bun pentru condus atât urban, cât și extraurban.
•	Consum: între 5 – 6 l/100 km, în funcție de stilul de condus.
•	Cutie de viteze: manuală, precisă și fiabilă.
DOTĂRII:
-CLIMA AUTOMATĂ
-JANTE ALIAJ ORIGINALE TOYOTA
-COMPUTER BORD
-PILOT AUTOMAT/CRUISE CONTROL
-ABS/ASR/ESP
-ISOFIX
-4x GEAMURI ELECTRICE
-PROIECTOARE CEAȚĂ
-OGLINZI ELECTRICE/INCALZITE
MAI MULTE DETALIi TELEFONIC!"
toyota,Hilux,19 950 €,3 000 cm³,171 CP,Diesel,Pickup,206 000 km,Negru,2016,Automata,"Mașina este recent adusă !! NU ESTE ÎNMATRICULATA !
Telefon 07******68
Posibilitate numere roșii pe o durata de 90 zile !
Model invincible din fabrica !
Km 206.000 reali , se accepta orice test!
Preț 19.950 euro
Motor 3.0/171 cp
AN FABRICAȚIE 2016
Ca și dotări :
- aer condiționat
- jante aliaj r17 originale Toyota
-navigatie /camera marsalier
-praguri ornamentale
-deflector /paravanturi
-bare longitudinale
-rollbar
-blocant spate
-pilot automat
-comenzi volan
- catlig remorcare
-încălzire in scaune
-proiectoare ceata
-închidere centralizată
-abs/esp
- interior întreținut , fără urme de uzura
-tehnic in stare perfecta de funcționare
- sasiul arată foarte bine !!Nu are rugina
- caroseria fără rugina !
In momentul vânzări mașina se poate ridica pe elevator, pentru a se face dovada ca nu prezintă rugina la partea de pod pedalier și sasiu!
Mai multe detalii in privat"
toyota,Prius,4 900 €,1 798 cm³,139 CP,Hibrid,Berlina,375 000 km,Alb,2011,Automata,"Masina se prezinta bine...interior stofa..bateria hybryd a fost incarcata..carlig remorcare..pret negociabil ,nu accept schimburi"
toyota,Hilux,19 700 €,2 399 cm³,150 CP,Diesel,Off-road,149 000 km,Alb,2018,Automata,"Toyota Hilux 2.4d 150cp
Fabr 04 2018 carte si talon
149000 km cu istoric complet
Model full cu multiple imbunatatiri
Avariat lateral stanga conform foto
Motor cutie stare perfecta
Fara nici un fel de erori
Documentatie fiscala la zi 2 chei
Detalii la telefon"
toyota,Aygo,4 300 €,998 cm³,69 CP,Benzina,Hatchback,229 000 km,Alb,2017,Manuala,"De vanzare toyota aygo an fabricatie 2017 motor 1.0 Benzina euro6 cutie viteze manuala! 229000 km reali accept orice test masina arata si merge impecabil pret 4500
Pret: Brut
Culoare: Alb
Emisii CO2: 95 g/km
Anunt adaugat de pe Autovit.ro"
toyota,Land Cruiser,4 990 €,N/A,N/A,Diesel,SUV,N/A,N/A,2001,Manuala,"Toyota Land Cruiser
Autoutilitară N1 ( originală- în acte )
Impozit mic
2 locuri
Motor : 3.0 diesel ( în varianta originală fără îmbunătățiri)
Cutie Manuală
4x4 cu reductor / diferențial blocabil
Tehnic și estetic conform vârstei.
Aer condiționat
Geamuri electrice
Cârlig de remorcare
Unic proprietar în țară.
Pentru mai multe detalii ,
Tel : O76651139O sau O 7 8 5 4 6 5 4 4 O"
toyota,C-HR,17 200 €,1 798 cm³,122 CP,Hibrid,SUV,120 500 km,Gri,2018,Automata,"Vand Toyota C-HR 1.8h Lounge Edition
Importata din Monza, Italia, unic proprietar, revizii efectuate in reteaua Toyota, cu carte service;
Motor 1.8 benzina-hybrid, 122 CP, Euro 6, cutie automata CVT;
Fabricatie 2018, cu 120500 de km;
Moduri de conducere selectabile: ECO/NORMAL/SPORT/EV
Dotari:
- Lumini de zi, semnalizari si stopuri LED
- scaune fata incalzite
- Bliss Asist - avertizare unghi mort la oglinzile retrovizoare exterioare
- volan piele mutifunctional
- pilot automat adaptiv distronic
- keyless entry , keyless go
- camera marsarier
- senzori parcare fata/lateral si spate
- oglinzi electrice plaibile,incalzite
- Lane Assist
- Sign Assist -citeste indicatoarele rutiere
- navigatie cu ecran tactil si Toyota online
- auto hold
- sistem de climatizare automata cu 2 zone si tehnologie de umidificare și ionizare Nanoe®
- bluethoot ,usb ,aux-in
- plafon negru
- oglinda retrovizoare heliomata
- interior piele cu textil
- senzori lumina
- senzori ploaie
- ABS ,EBD
- Park Assist - parcheaza singura
- sistem de comutare automată între faza lungă și faza scurtă - AHB
- sistem de control al stabilitatii - VSC
- sistem de control al tractiuni - TRC
- sistem de asistenta la pornirea in rampa - HAC
- sistem de avertizare asupra presiunii din pneuri – TPWS
Accept orice test.
Nu doresc schimburi.
Are scoase numere roșii pentru 90 de zile, începând cu 06.11.2025.
Detin CarVertical."
toyota,Avensis,12 500 €,2 000 cm³,143 CP,Diesel,Berlina,120 000 km,Gri,2017,Manuala,"TOYOTA Avensis ###
^ An fabricatie: 2017
^ Motorizare: 2.0 Diesel 143CP
^ Norma de poluare: EURO 6
^ Cutie de viteze manuala 6+1 trepte !
^ 120000-Km verificabili !
^ UNIC Proprietar in Romania
^ Optiuni:
•Interior textil in stare foarte buna
•Daylight LED
•Xenon Adaptiv
•Dublu Climatronic
•Scaune incalzite
•Sistem Navigatie|Bluetooth|
•Camera marsarier
•Senzori lumina
•Cruise control
•Lane Assist
•Volan multifunctional
•Computer bord
•Oglinzi electrice/incalzite/rabatabile
•Geamuri electrice fata-spate
•ESP/ABS
•Proiectoare ceata
•Carlig remorcare
•Jante Aliaj R17 -Anvelope in stare foarte buna
~ Autoturismul se prezinta in perfecta stare de functionare !
~ Proprietar | FISCAL PE LOC !"
toyota,Land Cruiser,28 500 €,2 755 cm³,177 CP,Diesel,Off-road,240 000 km,Alb,2015,Manuala,Masina este în stare buna atât tehnic cât si optic ...mici imperfecțiuni datorate vârstei.dotari incalzire scaune fata si volan scaune si volan cu reglaj electric volan multifuncțional....etc 7 locuri pentru mai multe detalii la telefon sau mesaje
toyota,Auris,8 500 €,1 800 cm³,135 CP,Hibrid,Break,280 000 km,Rosu,2015,Automata,"Vând Toyota Auris Hybrid în stare foarte bună de funcționare.
Mașina are motor 1.8 benzină plus hybrid
Consum foarte mic
Ideala pentru Bolt sau Taxi
280000km
Cutie de viteze: AUTOMATĂ
3 Moduri de condus (ECO,NORMAL,SPORT)
Lumini de zi Led
Stopuri led
Keyless go / keyless entry
Interior textil
Clima automata
Camera marsarier
Sistem multimedia cu Touch Screen
Sistem bluetooth telefon
Senzori Presiune Roti
Oglinzi Incalzite/ Heliomate /Reglabile Electric
Proiectoare Ceata
Jante Aliaj originale
Cârlig remorcare"
toyota,Yaris,3 850 €,1 364 cm³,90 CP,Diesel,Hatchback,182 560 km,Gri,2007,Automata,"Toyota Yaris 1.4 Diesel
-Automat
-182560 Km
-Schimburi la zi perfect funcțională
-Mecanic/tehnic este în stare foarte buna
-Perfecta pentru oras cât si pentru navetă
-Consum foarte mic.
Nu a avut numere roșii asigurare valabilă martie 2026 itp expirat luna aceasta.
Pentru relații/discuții doar telefonic. Mulțumesc!
Nu răspund la SMS-uri. Negociabil."
toyota,Yaris,9 299 €,999 cm³,N/A,Benzina,Hatchback,41 000 km,Alb,2017,Manuala,"Toyota Yaris
An Fab.07/2017
Motor 1.0i
41000 Km Reali Verificabili !!
Aer Condiționat
Abs Esp SRS Servo Total
Lane Assist
Pre-Collision Assist
Geamuri Și Oglinzi Electrice
Bord Computer
Volan Multifuncțional
Cd Player Original
Cârlig Remorcare
Jante Aluminiu
Închidere Centralizată Etc !
Recent Adusă Import Germania
Stare Foarte Bună Atât Tehnic Cat Și Optic
Preț Ușor Negociabil
Nu Accept Schimb"
toyota,Hilux,20 900 €,2 500 cm³,144 CP,Diesel,Pickup,167 000 km,Gri,2015,Manuala,"Toyota Hilux 11.2014 Motorizare 2.5 Tdi 144 CP cutie manuala
- inmatriculat RO
- unic proprietar de nou ( persoana fizica )
- 167.000 km reali certificati !
- service efectuat doar in reteaua TOYOTA
( revizii efectuate din 15.000 km in 15.000 km )
- fara accident ! fara rugina ! ( sasiul nu a fost vopsit sau antifonat ! )
- Vopsea originala !
STARE IREPROSABILA !
PENTRU PRETENTIOSI !
Dotari :
- praguri
- jante aliaj
- rollbar inox
- bare portbagaj
- deflector capota
- paravanturi geamuri
- interior din stofă
- pachet crom
- comenzi volan
- radio / cd original
- capitonaj bena
- Climatronic
- Navigatie Mare Android
- 4 x 4 cu reductor + diferential blocabil spate la buton !
- proiectoare ceata
- oglinzi electrice
- geamuri electrice
- compiuter bord
- 8 x airbag
- inchidere centralizata
- 4 x proiectoare halogene
Accept Absolut orice test !
Pret usor negociabil !
Merita vazut !"
toyota,Hilux,3 500 €,2 500 cm³,125 CP,Diesel,Pickup,340 000 km,Gri,2008,Manuala,"Toyota Hilux
An 2008
Motor 2.5 diesel 125 cai
Cutie manuală
km : 340.000
Scaune din piele ( necesită retapițare pe partea șoferului
Aer condiționat
Bena lungă
În stare bună de funcționare , cutie motor 10/10
Estetic 7/10
Preț 3500 euro cu TVA inclus deductibil"
toyota,Auris,12 500 €,1 800 cm³,134 CP,Hibrid,Hatchback,145 000 km,Alb,2018,Automata,"Toyota Auris 1.8 Hybrid VTT-i HSD TSS
Mașina a fost cumpărată din România, pe firma. A avut casco până recent. Km absolut reali verificabili. Istoric full la Toyota
Masina are garantie la sistemul hibrid atata timp cat se fac reviziile constante.
Dotări:
- Climatronic
- Trei moduri de condus
- Bluetooth / USB / CD
- Jante aliaj
- Alarma
- Lane Assist ( tine singura banda )
- Colision prevent
- Asistenta faza lunga
- Recunoastere semne de circulatie
- Volan multifunctional
- Lumina de zi Led
- Faza lunga si faza scurta Led
- Scaune fata reglabile pe inaltime
- Anvelope de vara iarna
- 2 chei
- Carte service Toyota
SE ACCEPTA TEST AUTORIZAT REPREZENTANTA TOYOTA"
