marca,model,pret,capacitate motor,putere,combustibil,caroserie,rulaj,culoare,an fabricatie,cutie viteza,descriere
kia,Sportage,2 550 €,2 000 cm³,140 CP,Diesel,SUV,270 000 km,Alta culoare,2006,Manuala,"Vand Kia Sportage , culoare visinie, 4x4, 2.0 diesel,cutie manuala, an fabricatie 2006, 270000 km , 140 cp, scaune piele incalzite, clima,geamuri si oglinzi electrice, trapa, jante aliaj cu cauciucuri de iarna, si vinde doar cu certificat fiscal."
kia,Niro,18 100 €,1 598 cm³,141 CP,Hibrid,SUV,109 300 km,Negru,2022,Automata,"Kia Niro Hybrid Style Automat 2022 141CP consum foarte mic
Lane Keep Assist Sistem activ de avertizare pentru părăsirea benzii cu intervenție corectivă a direcției
Distronic
Consum 4 - 4.5 in oras
Anvelope iarna noi
Anvelope vara
Sistem profesional de sunet
Lumini de zi LED
Priza 220V
Lumini ambientale
Asistenta faza lunga
Senzor oboseala sofer
Camera spate
Interior Piele-Textil
Android Auto
Apple car play
Virtual Engine Sound System, VESS)
Asistenta protecția pietonilor
Asistenta protecție in cazul de impact  (pune frana singura)
Geam termoizolant
Faruri cu functie de faza lunga automata
Pachet lumini dynamic line
Navigatie mare (inclusiv RO)
Pachet Crom exterior
Senzori de ploaie si lumina
Senzori presiune anvelope cu afisaj
Bare longitudinale cromate
Senzori de parcare spate
Navigatie mare cu Touchscreen
Bluetooth telefon si media
AppStore cu WiFi inclus
Android auto fara cablu
Dublu climatronic+zona de ventilare spate
Asistenta la coborare
Volan in piele multifunctional
Computer de bord multifunctional
Pilot automat (tempomat)
Oglinzi rabatabile electric/ sticla monocrom
Oglinzi reglabile si incalzite electric
Radio CD USB AUX MP3 SD Slot
Padele volan/schimbare viteze de pe volan
Jenti aliaj Kia
Multiple alte dotari!
Optic si tehnic in stare foarte buna.
Roata de rezerva dimensiune normala
Tavita portbagaj
Set dublu de covorase
Fara accident in istoric!
Kilometri reali si in crestere
Aplicatie Kia connect
Se accepta orice test.
Istoric controlat
Rar efectuat, carte prezenta.
Carte service cu toate reviziile efectuate la reprezentanta Kia.
Garanție pana in 2029 sau 150.000 de kilometri.
Revizie efectuata la reprezentanta Kia. Verificare tehnica efectuata la reprezentanta Kia."
kia,Ceed,6 990 €,1 396 cm³,95 CP,Diesel,Break,161 000 km,Alb,2016,Manuala,"# Full Automobile Bacau #
Finanțare prin partenerii noștri TBY Bank / MOGO
PERSOANE FIZICE /PERSOANE JURIDICE
Perioada de creditare intre 6 luni si 5 ani cu AVANS 0 Rate FIXE!
Finantarea se acorda pe loc doar in baza buletinului online sau la sediul nostru
Angajatii cu o vechime de min.4 luni
Persoane cu venituri din strainatate(contract de munca)
Acceptam codebitor daca clientul nu se incadreaza singur ( codebitor nu e obligatoriu sa fie din familie )
Persoane cu istoric NEGATIV in Biroul de credite
POSIBILITATE de BUY-BACK
Autoturismul dumneavoastră poate fi considerat avans pentru achiziția unui autoturism din parcul nostru
Eliberăm factură fiscală în care sunt trecuți numărul de kilometri și seria de șasiu
Garantăm starea și funcționalitatea excelentă a autoturismelor noastre, având reviziile efectuate periodic
Raport CAR VERTICAL gratuit
Oferim transport în limita a 200 km la domiciliu clientului sau numere rosi
Dotări :
•Încălzire în volan
•Încălzire în scaune
•Volan multifunctional imbracat in piele
•Climatronic
•Sistem audio RADIO / CD /  AUX
•Parbriz încălzit
•Auto Hold - asistenta in rampa
•Cotiera fata / spate
•Geamuri electrice fata / spate
•Oglinzi exterioare electrice, incalzite
•Oglinzi rabatabile electric
•Senzor de lumina
•Senzori parcare Spate cu afișaj
•Pilot automat
•Senzor de ploaie
•Volan reglabil cu comenzi
•Computer de bord
•Închiderea centralizata
•Alarma din fabrică
•2 Chei
•Servodirectie asistata electric
•Sistem antiblocare roti (ABS)
•ISOFIX pentru bancheta spate
•Cârlig remorcare
•Camera masalier
•Etc
Anuntul cu privire la descrierea autoturismului este informativ! Se pot strecura erori, greseli de scriere. Pentru mai multe detalii va rugam sa ne contacti telefonic si sa stabilim o programare !"
kia,Sportage,2 300 €,1 996 cm³,140 CP,Diesel,SUV,256 000 km,Gri,2007,Manuala,"Kia Sportage 2.0crdi 140cp 4x4 6+1 trepte
Aer conditionat cu compresor ac nou
4 geamuri electrice
Jante aliaj cu cauciucuri bune
Masina este in perfecta stare de functionare, fara absolut nici o problema de ordin tehnic. Revizie nou facuta si foarte multe piese recent schimbate. Nu necesita nici o investitie."
kia,Sorento,3 300 €,2 500 cm³,140 CP,Diesel,Off-road,282 000 km,Negru,2005,Manuala,"Kia Sorento 2005, motor 2.5 d, 140 CP,4x4Low reductor, distribuitie pe lant schimbata anul trecut, AC climatic, geamuri electrice fata-spate. Vopsita Raptor in aprilie. Masina are webasto original in habitaclu. In luna august am investit 6000 de lei în bielete,bucsi, schimbat rezervor, termoflot , in octombrie a fost pusa volanta+kit ambreiaj-5000 lei.Accept schimb cu japoneza mica benzina, Vitara, Pajero pinin, Rav 4, Jimny sau Samurai."
kia,Ceed,2 100 €,1 398 cm³,85 CP,GPL,Hatchback,230 000 km,Gri,2008,Manuala,"Kia Ceed 1.4 Benzină /GPL
În stare foarte bună
Anvelope noi
Toate reviziile efectuate la timp
*Aer condiționat
*geamuri electrice
*oglinzi electrice și încălzite
*sistem isofix
Acte valabile
Fiscal pe loc
Mai multe detalii în privat !"
kia,Sportage,9 450 €,1 685 cm³,115 CP,Diesel,SUV,175 129 km,Alb,2015,Manuala,"Kia Sportage 1.7 CRDi
An fabricație: 05.02.2015
Motorizare: 1685
Putere: 115 CP
Tracțiune: 2WD
Cutie de viteze: Manuala
Kilometraj: 175.129
Echipare Premium Platinum
Posibilitate garantie 12 luni.
Posibilitate rate TBI Bank
Dotări
•     ABS, ESP, Servodirectie Electrica
•     3 Moduri de condus: Sport/ Normal si Comfort
•	Interior din piele perforata
•	Scaune față încălzite
•     Bacheta spate incalzita
•     Sistem audio Premium
•     Radio Digital, DVD, CD, Hdd
•	Navigație GPS
•	Senzori de parcare față/spate
•	Pilot automat
•	Sistem Start-Stop
•	Volan multifuncțional
•	Cruise control
•	Climatizare automată pe două zone
•	Faruri cu lupa
•   Lumini de zi LED
•   4 x Geamuri electrice
•   Oglinzi rabatabile electric
•	Jante din aliaj
Mașina este într-o stare foarte bună, atât tehnic cât și estetic.
Istoric complet de service, revizii la zi.
Fără accidente, fără probleme ascunse.
Contract de promovare auto."
kia,Sorento,4 300 €,2 500 cm³,140 CP,Diesel,SUV,270 000 km,N/A,2006,Manuala,"KIA Sorento 2.5 diesel, 140cp
Acceptam și schimb cu SUV 4x4 (Touareg,ML,etc.)
An fab 2006
270000km reali, verificati
Geamuri electrice
Încălzire scaune fata
Pilot automat
Cotiera fata,spate
Navigație android
Clima
Huse scaune premium noi, nemontatate
Covorașe cauciuc tip tăviță,noi
Jante et negativ noi + cauciucuri Maspire MT noi cu factura și garanție
EGR nou
Arcuri și amortizoare schimbate
Discuri și plăcute fata- spate noi
4 Injectoare noi 1000km
Kit ambreiaj nou 50 km
Volanta noua 50 km
Kit distribuție nou 50 km
Baterie noua
Direcție refacuta, nu are bătăi
Kit de înălțare +5 cm cumpărat nou, nemontatat încă (varianta buna cu aliaj, nu cel de poliamida)
Se oferă facturi doveditoare pentru tot ceea ce s-a schimbat și cumpărat. Service PERFORMANCE GARAGE Sibiu
Mașina personală, in care s-au investit 5000 euro în ultima perioada.
Mașina nu are nici-o problema mecanica.
Pregătită pentru offroad/overlanding
Estetic are câteva defecte + pasajele spate cu rugina
Detalii la telefon"
kia,Sportage,16 500 €,1 598 cm³,115 CP,Diesel,SUV,120 500 km,N/A,2021,Manuala,"Fac si schimburi doar cu auto evaluate corect. Pret la schimb - 17.500 €.
Usor negociabil!
- lumini de zi cu led
- sistem de navigatie cu ecran mare
- senzori parcare
- senzori lumina
- senzori ploaie
- senzori presiune pneuri
- asistenta la urcarea in rampa si coborarea pantelor
- oglinzi laterale incalzite, reglabile si rabatabile electric
- geamuri fata/spate electrice
- cotiere fata/spate
- pregatire Bluetooth pentru telefonul mobil
- Android auto si Apple CarPlay
- camera pentru marsarier
- coloana de directie reglabila
- sistem start-stop
- climatronic
- suport pentru pahare
- pilot automat
- limitare viteza
- volan multifunctional din piele
- scaune din material textil
- bancheta spate pliabila si divizibila
- roata de rezerva+cric+cheie roti
- jante din aliaj 17 inch"
kia,Optima,11 990 €,1 699 cm³,140 CP,Diesel,Break,200 000 km,Alb,2018,N/A,"KIA OPTIMA 1.7 DIESEL 141 CP
CUTIE AUTOMATA
KM LA BORD 200000
Faruri FULL LED
Virtual Cockpit
Tapiterie piele si textil
Stopuri frana LED
Keyless go and entry
Navigatie
Apple CarPlay
Scaune full electrice
Camera marsalier
Pilot automat
Incalzire in scaunele din fata
Line assist
Senzor parcare fata/spate
Geamuri electrice fata/spate
Asistenta la franare
Recunoastere semne circulatie
Lane assist Start/Stop
Asistenta la tractare
Display color touchscreen
Volan multifunctional
Carplay
Sistem Audio
Bluetooth WIFI
Climatronic 2 zone
Jante aliaj 18
Tu iti alegi masina, noi ne ocupam de finantare!
TRANSPORT LA DOMICILIU INCLUS
Vino la un test drive gratuit pentru a testa calitatea autoturismelor.Este locul din care poti sa iti cumperi masina dorita in conditii de siguranta si incredere!
* AUTO BOX PLOIESTI *
*Posibilitate achizitionare cash si prin finantare(rate), cu sau fara avans. Aveti nevoie doar de buletin !
*Aprobare si finantare direct la sediul nostru sau totul online in maxim 1 ora!
*Pentru rate se accepta firme, persoane fizice si persoane care au mici probleme in biroul de credite, inclusiv pensionari !
* Finantare si pentru persoanele cu probleme in Biroul de Credit cu avans minim 10%!
* Finantare si pentru persoanele care lucreaza in afara tarii cu avans 0!
*Acceptam si masini in sistemul de buy-back, respectiv masina dvs se poate accepta ca avans pentru una de la noi.
*Vechime de minim 3 luni la locul de munca.
*Salariul incepand de la cel minim pe economie
*Actele le perfectam pe loc la biroul nostru din incinta parcului!
*Se eliberează factura fiscala!
*Punem la dispozitia clientului toate documentele necesare inmatricularii autovehiculului sau transcrierii acestuia.
*La cererea clientului putem intermedia tot procesul de inmatriculare(RAR, Politie, etc.)
Masini in rate cu avans 0
Rate fixe/Posibilitate achitare anticipat
Se accepta Soferi cu diurna / pensionari
Posibilitate finanțare doar cu buletinul
Aprobare online
Aprobare credit in maxim 2h
Avans ZERO
Dobânda de la 1% pe luna
Vârstă între 21 de ani și maxim 75 de ani.
In cazul in care nu răspundem va rog lăsați mesaj indicând autovehiculul care va interesează și detaliile dumneavoastră de contact , cu siguranța vom reveni cu telefon!
Adresa parcului nostru este : DN 1A Centura de Est a Ploiestiului
Daca folositi Waze sau GoogleMaps: AUTO BOX PLOIESTI
Program
Luni-Vineri -8.00-18.00
Sâmbătă. -9.00-16.00
Duminica -9.00-16.00"
