marca,model,pret,capacitate motor,putere,combustibil,caroserie,rulaj,culoare,an fabricatie,cutie viteza,descriere
peugeot,3008,16 750 €,1 598 cm³,300 CP,Plug-In Hybrid,SUV,163 393 km,Negru,2020,Automata,"*PEUGEOT 3008 PLUG-IN HYBRID
-Motor 1.6 PURETECH TURBO
-Cutie de viteze EAT8 -Tracțiune AWD4 -Fab. 2020
-Interior sport piele + Alcantara
-Volan piele perforată
-Încălzire auxiliara programabila.
-Scaune sport și ergonomice
-Iluminare ambientală LED (portiere, bord, consola)
-Cameră video
-Senzori parcare față/spate
-Asistență la parcare
-Climatizare automată bi-zonă
-Sistem keyless (fără cheie)
-Tehnic: impecabil.
- Automată full, 8 trepte
- Echipare GT
- Sistem Hybrid 4x4
- 4 Moduri de condus: Hybrid, 4x4, Electric, Sport
-Sistem nocturn cu detectare pietoni si animale.
- Cornering lights – iluminarea activa a curbelor
- LPA (mentinerea activa a benzii) + LKA (retragere automata la depasirea neintentionata a benzii)
- Senzor ploaie pe nivele de sensibilitate
- Lampi semnalizare dinamice
- Avertizare unghi mort
- Virtual Cockpit Peugeot, diferite teme
- Sistem avertizare si franare urgenta pietoni, animale, obstacole
- Apelare Telefonica 112 automata in caz de accident
- Inchidere centralizata “hands-free” + control geamuri din telecomanda
- Padele volan schimbare viteze
- Sistem supraveghere/avertizare oboseala
- Auto hold
- Stopuri + Faruri adaptive Full LED Technology
- Geamuri fata si spate actionate electric
- Oglinzi retrovizoare exterioare reglabile electric si incalzite
- Regulator + limitator viteza
- Servodirectie electrica
- Servofrana + Asistenta la franarea de urgenta
- Volan reglabil pe inaltime si adancime
- Sistem recirculare aer automat “air quality”
- 3 Prize 12V
- Luneta cu stergator si degivrare
- Computer de bord
- Bancheta spate rabatabila 1/3-2/3
- Cotiera centrala fata cu refrigerare si deschidere in 2 segmente
- Recunoastere extinsa semne circulatie (ETSR)
- Comutare automata la faza de drum
- Cablu incarcare 3.7 KW
- Priza USB rand 2
- 6 Boxe + USB + Bluetooth
- Stergatoare parbriz incalzite si automate
- Airbag-uri laterale fata
- Airbag frontal pentru sofer + pasager cu posibilitatea decuplarii airbag pasager
- ABS
- Airbag-uri cortina fata + spate
- Airbag-uri cap, genunchi, laterali
- Centuri de siguranta in 3 puncte, pretensionate
- 3 tetiere spate
- Sistem ISOFIX
- Frana electrica automata cu Offroad Hill Assist
- ESP
- Detector indirect presiune pneuri
- Alerta activa depasire banda de mers
-
- Geamuri laterale spate si luneta cu tenta inchisa
- Ornamente evacuare cromate
- Jante aliaj R19 anvelope dot2024
- Cârlig remorcare detașabil
- Plafon Negru
Motor benzină 200cp + 2 motoare electrice față/spate 100cp electric
Autonomie 50-60km pe electric
Mașina arată și merge impecabil
Carte service
VIN : VF3M45GBULS148507
Adusă recent din Austria
Nu sau scos numere roșii
Mai multe detalii la telefon
Accept orice verificare"
peugeot,208,4 200 €,999 cm³,68 CP,Benzina,Hatchback,57 000 km,Maro / Bej,2013,Manuala,"Vând PEUGEOT 208 din 2013 cu motor 1.0 benzina și euro 5 cu consum mic perfectă pentru oraș sau navetă.
57.000 km.
Mașina dispune de cutie manuală, pilot automat, geamuri electrice etc.
Masina este înmatriculată în țară în primăvară acestui an.
Are acte valabile și se vinde cu perfectarea actelor iar pentru mai multe informații vă rog să mă sunați la 07******77."
peugeot,308,7 000 €,1 200 cm³,130 CP,Benzina,Break,170 000 km,Negru,2018,Manuala,"• Kilometraj certificat și menționat în documente
• Garanție 24 luni / 20.000 km pentru Motor, Cutie și Diferențial
• Video și fotografii suplimentare disponibile pe WhatsApp
• Numere de probă disponibile pentru test drive
• Eliberare pe loc până în ora 13 a numerelor provizorii
• Livrare gratuită în limita a 200 km, direct la domiciliu
• Asistență completă pentru RAR și înmatriculare
•Posibilitate de achiziție în rate prin TBI Bank cu dobândă de la 7%
⸻
Motorizare : 1.2i 130CP
Cutie de viteze : 6+1
Normă de poluare : Euro 6
Kilometraj : 170.000
Pentru cei interesați, punem la dispoziție istoricul complet al vehiculului, verificat și documentat.
Import Belgia
Distribuie efectuată
⸻
Echipare GT-Line
Panoramic
Navigație cu CarPlay
Clima 2 zone
Faruri full led
Semnazilari dinamice
Pilot automat
Limitator de viteza
Senzori parcare față spate
Senzori lumina
Senzori ploaie
Senzori presiune roți
Jante Bi-Colore
Geamuri heliomate
Oglinzi pliabile electric
Start stop
Cusătura roșie la interior
Frâna de mâna electrică
4geamuri electrice
Volan sport GT line cu comenzi
Cotieră față spate
Alte dotări de bază se înțeleg de la sine
Este echipare de vârf GT line
⸻
Pentru verificări suplimentare
Serie șasiu / VIN : VF3LRHNSPJS259101
Programează chiar acum o vizionare"
peugeot,307,950 €,2 000 cm³,90 CP,Diesel,Break,394 000 km,Albastru,2003,Manuala,"Pentru a viziona mai multe poze si stocul nostru complet cu peste 150 de autoturisme, accesati www.mihutauto.ro
• 950 € ( usor negociabil )
• Peugeot 307
• 2.0 Diesel ( 90 CP) Euro 4
• Model 2003
• Inmatriculat in Romania
• Cutie De Viteza Manuala
• 394.000 km (din cauza nr de km nu se ofera garantie)
• Achizitie CASH / RATE / BUY-BACK
Dotări:
* Sistem AC
* 2 X Geamuri electrice
* Radio/Media/CD
* Oglinzi electrice reglabil
* Sistem ABS/ESP
* Computer bord
AVANTAJELE PARCULUI NOSTRU:
* Transport gratuit la domiciliu in judet si zonele invecinate
* Posibilitate de livrare in toata tara prin partenerii nostri
* Finantare 100% online sau direct in locatia noastra
* Rate fixe cu sau fara avans doar cu buletinul pentru persoane fizice
* Kilometraj verificat si certificat
* Posibilitate test drive pentru orice masina, legal cu numere de proba
* Video si poze extra la cerere cu masina dorita
* Asistenta pentru RAR si inmatriculare
Ne gasiti in Sanmartin , Str. Stefan cel Mare , Nr 121, Bihor 417495
PROGRAM:
Luni - Vineri: 09:00-17:00
Sambata: 10:00-14:00
Duminica: INCHIS
Nu ai gasit masina dorita in stocul nostru ?
Contacteaza-ne prin OLX, Whatsapp sau la numerele de telefon si o aducem la comanda!
!Atenție: Informațiile pot conține inadvertente. Pentru orice nelamurire sau intrebare in legatura cu autoturismul, va rugam sa ne contactati."
peugeot,308,4 990 €,1 560 cm³,110 CP,Diesel,Hatchback,288 474 km,Gri,2011,Automata,"Peugeot 308 2011 – franțuzoaica elegantă care știe să fie și practică!
Nu e doar o mașină, e un „bonjour” pe patru roți: consum mic, confort bun și cutie automată care-ți lasă mâinile libere pentru cafea.
1.6 HDi – 110 CP, Euro 5 – motor economic și de încredere
Cutie automată – schimbă singură, tu doar alegi muzica
An fabricație: 2011
Kilometraj: 288.474 km – drumuri multe, dar cu stil franțuzesc
Import Franța – mai mult baguette decât gropi
Serie șasiu: VF34C9HR8BS023082 – verificabil, fără secrete
Preț: 4.990 € – cât un city break la Paris, dar ăsta ține ani de zile
Rate fără avans – o conduci acum, o plătești liniștit
Garanție 12 luni – un an de drumuri fără griji
Livrare la domiciliu – vine până la tine, la propriu
Numere roșii valabile – bagi cheia și spui „au revoir” la transportul în comun
WhatsApp: 07********55
Peugeot 308 – elegantă, economică și cu un strop de „je ne sais quoi”. Mașina perfectă pentru cei care vor să conducă smart și cu stil."
peugeot,2008,13 300 €,1 499 cm³,130 CP,Diesel,SUV,188 000 km,N/A,2020,Automata,"Mașina a fost folosită doar în scop personal și întreținută cu maximă atenție.
Reviziile au fost făcute doar la reprezentanță până, iar istoricul este complet verificabil.
Sunt primul proprietar în România (al doilea de la fabricare).
Se poate verifica în orice service autorizat, fără nicio problemă.
⸻
Dotări principale:
•	Cutie automată cu 8 trepte – schimbări line, condus relaxat
•	Bord digital 3D (Virtual Cockpit) – design modern și spectaculos
•	Navigație mare cu touchscreen
•	Faruri, proiectoare și stopuri LED – lumină excelentă, aspect premium
•	Cameră de marșarier + senzori față/spate – parcare ușoară, zero stres
•	Lane Assist + recunoaștere indicatoare rutiere
•	Volan sport cu padele – plăcere la condus
•	Interior cu piele + textil, accente de carbon – foarte curat, fără nicio urma de uzură
•	Dublu climatronic
•	Apple CarPlay / Android Auto + conectare prin aplicație mobilă
•	Jante originale de 17” cu anvelope premium
•	Frânare automată (Emergency Assist)
•	3 moduri de condus: Eco / Normal / Sport
•.     Lumini automate, senzori de ploaie"
peugeot,208,14 000 €,1 199 cm³,101 CP,Benzina,Berlina,35 500 km,Albastru,2021,Automata,"Vând Peugeot 208 1.2 PureTech STT ideal pentru oraș și navetă, prima inmatriculare 07.2021, Model 2022.
Masina este asigurata full Casco pana in august 2026.
Dotari:
- Motor 1199 cmc, 101 CP, benzina
- Cutie automata 8+1 cu padele pe volan,
- Cookpit virtual 3D- Ceasuri Plasmă cu diferite tipuri de afisaj
- Navigatie mare,
- Posibilitate schimbate moduri condus Normal/ Sport/ Eco
- Climatronic 2 zone,
- Scaune fata si spate Piele + material,
- Scaune fata incalzite
- Faruri si stopuri Full LED(DayLight)
- Follow me home/Leaving Home
- AEB / Franarea automata in caz de impact
- Lane departure (Asistenta la mentinerea benzii de mers, vibreaza volanul)
- Forward alert
- Camera si senzori parcare spate
- KEYLESS GO (Pornirea si oprirea masinii cu cheia in buzunar)
- Camera recunoasterea semnelor de circulatie
- Senzori lumina+ploaie+pneuri+antiorbire
- Auto Hold
- Geamuri electrice fata + spate
- Oglinzi pliabile electric, heliomate si incalzite
- Tempomat
- Conectivitate TEL +Bluetooth +USB +aux
- Eleron spate
- Dungi racing negre
- Paravanturi la geamuri fata + spate
- Folie solara spate + luneta
Masina este intr-o stare impecabila interior si exterior cu o culoare inedita Blue Racing.
Echipata cu jante pe 17"" si cauciucuri noi All season, masina are inca un rand de jante pe 16"" cu cauciuri de vara."
peugeot,308,7 980 €,1 198 cm³,131 CP,Benzina,Break,204 000 km,Negru,2020,Automata,"Peugeot 308 PureTech,2020,Distributie Noua-Rate cu Avans 0!
RokAuto Import – Parc auto autorizat, Bacău,Hemeiuș!
Oferim autoturisme rulate, importate din Europa, atent verificate tehnic și juridic, cu acte clare și condiții avantajoase de achiziție.
Ce oferim:
• Mașini verificate tehnic, fără vicii ascunse
• Kilometri garantați, menționați în factură
• Achiziție în rate prin partenerii noștri financiari – avans 0, rate fixe, aprobare rapidă (inclusiv pentru persoane cu istoric negativ)
• Clientul devine direct proprietar – nu reținem actele
• Transport gratuit la domiciliu sau numere provizorii pe loc
• Garanție inclusă în preț
• Servicii suplimentare: înmatriculare și RAR (jud. Bacău)
• Sistem buy-back
Dotări și echipare:
Autoturismul beneficiază de dotările standard corespunzătoare versiunii de echipare. Pentru lista completă a dotărilor suplimentare (față de cele de bază), vă rugăm să verificați împreună cu un reprezentant de vânzări. Această abordare asigură claritate și evitarea oricărei neînțelegeri. Dotările pot fi prezentate la fața locului, prin video call sau în materialele video disponibile.
De ce să alegi RokAuto Import:
Pentru că punem accent pe seriozitate, transparență și servicii complete. Fiecare client este tratat corect, iar fiecare mașină vândută este o carte de vizită pentru noi.
Oferim consultanță personalizată pentru a te ajuta să alegi mașina potrivită, test drive fără obligații și posibilitatea de comandă la cerere, în cazul în care nu găsești modelul dorit în stoc. Sună acum și programează o vizionare – descoperă diferența dintre un simplu vânzător și un dealer auto de încredere"
peugeot,207,1 870 €,1 369 cm³,N/A,Benzina,Hatchback,93 120 km,Gri,2008,Manuala,"Peugeot 207, motor 1360cm3, benzina, an fabricație 2008, gri metalizat, 4+1 usi, ITP valabil pana in 31.10.2026.  Mașina prezintă ușoare zgârieturi de suprafață si o ușoară avarie pe aripa stânga față. (Ultima poză) Se vinde numai cu fiscal."
peugeot,208,4 999 €,1 589 cm³,100 CP,Diesel,Hatchback,218 000 km,Rosu,2017,Manuala,"Vând Peugeot 208
Model Allure gama de vârf
An fabricație decembrie 2018
Motor 1,6 hdi
Euro 6
100 cp
Xenon
Led față,spate
Aer condiționat funcțional
Scaune încălzite
Jantele aliaj R16 originale
Oglinzi electrice și încălzite
4 geamuri electrice
2 chei
Senzori parcare față,spate
Senzori ploaie,lumini
km 218.000 verificabili
Start stop
Eleron portbagaj
Autoturismul arata și funcționează impecabil!
Stare foarte buna atât tehnic cât și estetic!
Se accepta verificare la service!
Adusă recent!
Vopsea originala 100%"
